Reference,Quantity,Value,Footprint,Manufacturer,MPN,Layer,
C1 C14,2,C_10u_25V_0603,C_0603_1608Metric,TDK,C1608X5R1E106M080AC,Top,
C10 C11 C22 C23,4,C_22u_16V_0603,C_0603_1608Metric,Samsung Electro-Mechanics,CL10A226MO7JZNC,Top,
C19 C92,2,C_3u3_0402,C_0402_1005Metric,TDK,C1005JB1A335K050BC,Top,
C2 C59 C60 C70 C76 C77,6,C_4u7_0402,C_0402_1005Metric,Murata,GRM155R61A475MEAAD,Top,
C25 C26 C27 C28 C29 C30 C31 C32,8,C_10u_16V_0603,C_0603_1608Metric,Murata,GRM188C81C106MA73D,Top,
C3 C8,2,C_18p_0402,C_0402_1005Metric,Samsung Electro-Mechanics,CL05C180JB51PNC,Top,
C45 C48,2,C_1u_16V_0402,C_0402_1005Metric,KEMET,C0402C105M4PACTU,Top,
C5 C6 C7 C9 C12 C13 C15 C16 C17 C18 C20 C21 C24 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C44 C46 C47 C49 C50 C51 C52 C53 C54 C55 C57 C58 C61 C62 C63 C64 C66 C67 C68 C72 C75 C79 C80 C82 C84 C85 C86 C89 C93 C94 C95 C96 C97 C98 C99 C100 C101 C102 C103 C104 C105,65,C_100n_0402,C_0402_1005Metric,Murata,GRM155R61H104KE14D,Top,
C56 C73 C74 C78 C87 C91,6,C_2u2_0402,C_0402_1005Metric,TDK,C1005X5R1A225K050BC,Top,
C69 C71,2,C_22p_0402,C_0402_1005Metric,YAGEO,CC0402JRNPO9BN220,Top,
C81 C83,2,C_16p_0402,C_0402_1005Metric,Walsin,0402N160J500CT,Top,
C88 C90,2,C_10p_0402,C_0402_1005Metric,Murata,GCM1555C1H100GA16D,Top,
D1 D2 D5 D12 D16 D19 D22 D25 D28 D31 D34 D41,12,LED_G_0603_LG_L29K-G2J1-24-Z,LED_0603_1608Metric_G,OSRAM,LG L29K-G2J1-24-Z,Top,
D3 D13 D14,3,PESD5V0S2BQA,TPD2E009DRTR,Nexperia,PESD5V0S2BQA,Top,
D36 D37 D38 D39 D44,5,ESD9X5.0ST5G,SOD-923,ON Semiconductor,ESD9X5.0ST5G,Top,
D4 D15 D18 D21 D24 D27 D30 D33,8,,,,,Top,
D40 D43,2,TPD2E009_SOT-9X3,SOT-723,Texas Instruments,TPD2E009DRTR,Top,
D42,1,LED_R_0603_KP-1608EC,LED_0603_1608Metric_R,Kingbright,KP-1608EC,Top,
D6 D17 D20 D23 D26 D29 D32 D35 D45,9,ESDA25P35-1U1M,ESDA25P35-1U1M,STMicroelectronics,ESDA25P35-1U1M,Top,
D7 D8 D9 D10 D11,5,1N4148WS-7-F,SOD-323,Diodes Incorporated,1N4148WS-7-F,Top,
FB1 FB2 FB10,3,FB_600Z_0.5A_Murata-BLM18AG_0603,FB_0603_1608Metric,Murata,BLM18AG601SN1D,Top,
FB13 FB14 FB16 FB17,4,FB_120Z_2A_Murata-BLM18PG_0603,FB_0603_1608Metric,Murata,BLM18PG121SN1D,Top,
FB3 FB4,2,FB_30Z_8.5A_Murata-BLM21SN_0805,FB_0805_2012Metric,Murata,BLM21SN300SZ1D,Top,
FB5 FB6 FB7 FB8 FB9,5,FB_120Z_3A_Murata-BLM18SG_0603,FB_0603_1608Metric,Murata,BLM18SG121TN1D,Top,
J17 J19,2,,,,,Top,
